100076559285014,100085941581247,Directed,152506,,1
darmadi.chanigho,100085941581247,Directed,152505,,1
hotmarisi.hutabarat.3,100085941581247,Directed,152504,,1
rio.naldy.96,100085941581247,Directed,152503,,1
arifin.y.gultom,100085941581247,Directed,152502,,1
oktavia.adelina.56,100085941581247,Directed,152501,,1
randi.n.putra.3,berkelana.dua.90260,Directed,154979,,1
suefsuef.suefsuef,agusciesulung.sulung,Directed,155838,,1
suefsuef.suefsuef,kakekazka.kakekazka,Directed,154962,,1
suefsuef.suefsuef,100032030301691,Directed,153747,,1
suefsuef.suefsuef,100071735144971,Directed,153638,,1
suefsuef.suefsuef,sautsiahaan.sautsiahaan.96,Directed,153490,,1
amri.praza,suefsuef.suefsuef,Directed,153726,,1
andro.a.syah.7,suefsuef.suefsuef,Directed,153725,,1
damri.purba.12,suefsuef.suefsuef,Directed,153724,,1
sautsiahaan.sautsiahaan.96,suefsuef.suefsuef,Directed,153723,,1
100045391128751,suefsuef.suefsuef,Directed,153721,,1
diamond.sitorus.7,suefsuef.suefsuef,Directed,153720,,1
kakekazka.kakekazka,suefsuef.suefsuef,Directed,153719,,1
100048960557089,suefsuef.suefsuef,Directed,153717,,1
100053550765567,suefsuef.suefsuef,Directed,153715,,1
100071735144971,suefsuef.suefsuef,Directed,153707,,1
100073313500186,suefsuef.suefsuef,Directed,153705,,1
100081077017277,suefsuef.suefsuef,Directed,153701,,1
susi.frengky.7,hendis.nil,Directed,154524,,1
defryindry.indry,eni.darmayani.98,Directed,156254,,1
defryindry.indry,endri.zal.75,Directed,156242,,1
defryindry.indry,ayu.azari.961,Directed,155875,,1
defryindry.indry,anksiguda.sembiring,Directed,155813,,1
defryindry.indry,al.r.pratama.750,Directed,155694,,1
defryindry.indry,susi.frengky.7,Directed,155280,,1
defryindry.indry,irpan.mansur.315,Directed,154627,,1
defryindry.indry,100029788273805,Directed,154185,,1
defryindry.indry,vikri.nex,Directed,154130,,1
defryindry.indry,100089142940561,Directed,153835,,1
defryindry.indry,sucie.wahyudipribadi,Directed,153684,,1
defryindry.indry,100041981416762,Directed,153509,,1
defryindry.indry,samsona.samsona.58,Directed,153405,,1
hasril.hasril.777,defryindry.indry,Directed,156127,,1
ayu.azari.961,defryindry.indry,Directed,156126,,1
100041981416762,defryindry.indry,Directed,156119,,1
samsona.samsona.58,defryindry.indry,Directed,156118,,1
anksiguda.sembiring,defryindry.indry,Directed,156115,,1
marhite.naibaho,fernandus.siagian.5,Directed,154439,,1
marhite.naibaho,winson.gultom.90,Directed,154192,,1
marhite.naibaho,100079317817530,Directed,153603,,1
marhite.naibaho,sahat.pakpahan.376,Directed,153371,,1
marhite.naibaho,100078078352972,Directed,152581,,1
fernandus.siagian.5,marhite.naibaho,Directed,154692,,1
winson.gultom.90,marhite.naibaho,Directed,154690,,1
arifin.y.gultom,marhite.naibaho,Directed,154689,,1
nelson.nababan.965,marhite.naibaho,Directed,152328,,1
oktavia.adelina.56,marhite.naibaho,Directed,152327,,1
danny.bekend.7,marhite.naibaho,Directed,152326,,1
100078078352972,marhite.naibaho,Directed,152325,,1
100079317817530,marhite.naibaho,Directed,152324,,1
msabdan.ilham,100072570167102,Directed,156203,,1
msabdan.ilham,100070987152153,Directed,156047,,1
100072570167102,msabdan.ilham,Directed,156093,,1
100079317817530,warensius.sinaga.9,Directed,156480,,1
100079317817530,edseptian,Directed,156205,,1
100079317817530,arifin.y.gultom,Directed,155847,,1
